Ted Todd A-Z Key Words,Ted Todd A-Z Key Word Descriptions
"BIRD’S EYE
","A distinctive figure in Maple which is said to look like a bird’s eye.
"
"BLACK OXIDISED
","Wood that has turned black through the oxidation process. The wood may be naturally blackened over time or new wood may be turned black through an artificial blackening oxidation process.
"
"BLEACH
","The process by which a chemical is applied to timber in order to lighten it. Certain hardwoods are bleached by sunlight –e.g. Walnut, Cherry and Oak.
"
"BROWN OAK
","A distinctive type of Oak that is a deep, chocolate colour. English Brown Oak is actually white Oak that has turned brown due to a fungal infection (beef steak fungi) that causes a chemical change in the tree. It is a rich honey brown colour.
"
"BLOCKS OR PARQUET WOOD BLOCKS
","Pieces of rectangular shaped flooring timber, varying in size, but usually in the region of 200-275mm x 65-75mm x 20mm. Most blocks are tongued and grooved. To facilitate different laying patterns, blocks usually have 1 tongue (along a long side) and 3 grooves, or they may be supplied with left and right handed pairs with 2 tongues and 2 grooves on each piece. Blocks must be glued down to a screeded subfloor with adhesive. This is also known as fully-bonded. Can be laid in different patterns such as; basket weave, herringbone, half bond ladder pattern, double-herringbone etc."
BLOCKS (OR PLANKS OR STRIPS) ,"A form of wood flooring composed of elements from 60-200mm wide (sometimes smaller or larger) and from 200mm 500mm to 2500mm in length, often random lengths. Boards can be secret nailed (see below) or glued. Solid boards must never be fixed by the ‘floating floor’ method."
"BORDER
","A feature in a floor, whereby a contrasting timber is inset around the perimeter. Sometimes called an ‘inset strip’.
"
BURNT,"Ted Todd’s Crafted Textures range houses the skilfully created Burnt items such as Sheringham.
Each plank or herringbone piece is individually heat-treated by hand to give a very natural aged effect.
The Burnt treatment in the Ted Todd range is not as severe as the Carbonised process used in the Woodworks Carbonised range.
"
BURNISHED,"Burnishing is the process applied to wood floors during and after the application of oils.
Often done by hand, it involves rapidly rubbing the surface of the floor with various mediums which generates heat and has the effect of melting the oils and waxes and blends these in with the wood fibres making a very smooth, luxurious, hardwearing finish.
"
BURNISHED HARDWAX OIL,"A durable, natural finish that combines oils to deeply penetrate the wood’s pores. Slowly build
up for maximum protection. Reflects light well and emphasises natural grain. Our Hardwax Oils are a
regenerative finish: clean & re-apply to regenerate.
"
BURNT (FLOORING TREATMENT,"Ted Todd’s Crafted Textures range houses the skilfully created Burnt items such as Sheringham.
Each plank or herringbone piece is individually heat-treated by hand to give a very natural aged effect.
The Burnt treatment in the Ted Todd range is not as severe as the Carbonised process used in the Woodworks Carbonised range.
"
"BRINELL SCALE OF HARDNESS
","A scale that compares the hardness of various species of timber. On the Brinell scale, Oak has a value of 5 whereas Jatoba has a value of 7 indicating Jatoba is harder than Oak. See also Janka Hardness rating."
BRUSHED ,"Various levels of brushing techniques (From Light to Raked) that are used to reveal the timber’s natural grain. Heavier brushing results in deeper grooves and raised parts of the wood’s grain. 
"
"CARE AND MAINTENANCE
","The essential part of wood floor ownership to ensure that the end user applies the correct methods and materials needed to allow their floor to withstand decades of future use.
"
"CARE SYSTEM
","Usually given a number, 1 or 2, depending upon the wood floor finish type to be looked after.
A good Care System will include all of the materials and detail the process for looking after a wood floor. The use of the correct Care System will be necessary to validate any warranty or guarantee."
"CASE HARDENED
","Case hardened is used to describe timber that has been improperly dried. If dried too quickly, wood shrinks heavily on the surface compressing its still damp interior. This results in unrelieved case-hardened wood which may warp considerably and potentially dangerously when the stress is relieved by sawing. This is a commonly known term, but case-hardened timber is not as common as people think.
"
"CELLULOSE
","The carbohydrate that is the principle constituent of wood. It forms the frame work of wood cells.
"
CHECK,"A lengthwise separation  or split of the wood which extends across the rings of annual growth, usually resulting from stress, set up in wood during seasoning.
"
"CHEVRON
","A design of floor block in a parallelogram shape, usually with a 60-degree or 45-degree angle. Normally laid in a V pattern."
"CHIPBOARD
","A board made from particles of wood, mechanically compressed with glue or other binders to produce a board. Chipboard is a very common subfloor material today, particularly in new construction. It should be avoided in damp conditions although you can source flooring grade chipboard that is damp-proof. Serrated nails are recommended when fixing, as chipboard does not retain standard nails well. Resin-bonded ply is an alternative.
"
"CITES LIST
","The Convention on International Trade in Endangered Species of Wild Fauna and Flora is an international agreement aimed at regulating the trade in threatened wild life and plants. Species can be listed on one of three appendices to the treaty which impose levels of restriction on international trade. Although there have been attempts by environmentalists and some governments to list a range of over-exploited timber species on CITES, there are currently just 46 CITES-listed trees by Species or Genus listed under this agreement, of which only a few are major timbers. Producer countries frequently oppose moves to list species to protect their logging interests, although some appreciate the help it can provide in controlling trade in over-exploited species."
Click Joint,"A method of joining the boards of floating floors together without using glue. The tongue is made with a protrusion that fits over a corresponding rebate in the groove, so called because the elements often “click” when pushed together. Not recommend for use with solid boards as the precise jointing mechanism is susceptible to slight changes in moisture ,– rendering the system useless.
"
Close Piling ,"This refers to a method of stacking timber boards tightly together with no gaps between the planks.
Piling (stacking) of wet timber (not kiln-dried) without sticks, even for a few days is a cause of staining and if prolonged, may result in serious losses from fungal decay.
"
Clout Nail,"A type of galvanised nail with a large head, sometimes used as a decorative/period feature when face fixing solid boards.
"
Coefficient of Expansion,Timber expands and contracts with changes in moisture. The rate of this change varies according to a timber’s porosity. The rate of this change can be measured to produce a table showing the varying coefficient of expansion – it is measured by the change in the width of a board that happens when the moisture content goes from 20% to 10%. Beech has a high coefficient ( meaning it moves a lot) whereas Oak has a low one (and is therefore more stable). In layman’s terms this could be called a timber’s “stability”.
"Continuous Weave, Or Continuous Versailles","A design pattern in wood flooring laid using squares and rectangles to resemble a weave pattern.
"
COSHH Sheet,"The manufacturer’s guide to the safety aspects of the product, produced in accordance with the Control of Substances Hazardous to Health.
"
Conditioning,"A process usually used at the end of the drying process used to create an equilibrium in moisture content.
"
Crack,"A wide gap in the timber, often caused by shrinkage of timber containing a shake.
"
Crown Cut ,A method of slicing veneers whereby the average inclination for the growth rings to the wider face is tangential or less than 45 degrees. This method is also known as flat cut.
Crowning,"Distortion of boards or blocks so that the surface is convex. Usually caused by very damp atmospheric conditions, whilst the subfloor remains dry.
"
Cumulative Shrinkage,"Cumulative shrinkage or ‘rafting’ is caused by a lacquer applied to the surface of a floor, running down the edges of the pieces and sticking them together like strong glue (Side Bonding). When the floor shrinks (with its natural seasonal movement) instead of each piece shrinking a fraction so that there is a tiny gap between each piece, the pieces are stuck together in ‘rafts’ and wide gaps open at weak spots. It is sometimes possible to fill the gaps, but floors subject to bad cumulative shrinkage may have to be completely replaced.
"
Cupping,"Cupping refers to a change of shape or distortion  in a floorboard where the side edges of a plank become raised up so they become higher than the centre of the plank.
Cupping is the opposite of crowning and is infinitely more common. It is almost always caused by moisture under the floor, whereby the moisture content of the bottom of the board is raised to a higher level than the surface, distorting the board. Whilst minor cupping, less than 0.5% of the board width, might be sanded out, there is a slight danger that, if the board should return to a stable form, crowning might result."
Damp Proof Membrane,"A layer of impervious material, often polythene, built into the subfloor to prevent moisture affecting the flooring. Liquid DPMs are recommended when the existing moisture content of the screed is too high to fit a timber floor. BS8201 advises a slab moisture content of 4% or 75%RH. However, for flooring with a moisture content of 8 to 10% a slab must not exceed a moisture content of 2% or 40%RH. Residual moisture content in a newly laid concrete slab can be sealed with a proprietary product, but rising damp will need to be treated by a specialist."
Data Sheet,"The manufacturer’s guide to the technical details of the product.
"
Db Value,"The measurement of the floor’s sound insulative properties. Db = decibel – a unit of sound measurement. Measurement is usually divided into airborne sound and transmitted sound. There are various sound reducing underlays available that will significantly reduce the sound transmitted through the floor and into the room underneath. Choose the best underlay that will enable the use of a timber floor whilst meeting all of the current sound reduction regulations.
"
Deep Fumed,"Deep Fumed is the process of fuming wood under higher pressure and for a much longer period than Double- Fumed. This allows the fuming effect to penetrate even more deeply into the timber. This results in a much darker coloured wood than with normal Fumed and even Double Fumed.
The Fuming process only works on heart-wood and any naturally occurring sap in the oak will appear much lighter against the darkened areas.
"
Differential Shrinkage,"Different cuts of the same wood species can expand and shrink at different rates as the humidity in the wood changes. The most stable section is the quarter sawn section, this is far more stable than a plain sawn section. Different species of timber expand and shrink at different rates.
"
Dimensional Stability,"This refers to the varying propensity of different wood floors to expand/contract. For example, wide engineered wood floors are more dimensionally stable than wide solid boards. Installation methods will/should reflect on a product’s dimensional stability.
"
Distressed ,"A combination of broken edges, indentations and hand scraping and planing creates a randomly, naturally worn texture across each board.
"
Double Fumed ,"Double fumed is the process of fuming wood under high pressure that allows the fuming effect to penetrate deeply into the timber. This usually results in a much darker coloured wood.
"
Distressed Edge,"A feature applied to the Ted Todd floors with the more rustic and period characteristics.
Distressed edges are a random bevel feature of all four sides of each piece of flooring. The effect is far more natural than the clean, sharp appearance of a microbevel.
"
Double Satin Lacquer,"Our 12-coat applied lacquer-based finish provides a super hard wearing & durable, anti-scratch finish. It is suitable for high traffic applications. We fully cure and sand between coats to form the highest levels of protection. It has a mid-sheen appearance and has high levels of reflection."
Douglas fir,"Originating from the western coast of Canada. This evergreen pine grows in dense forest areas and has naturalised throughout Europe and South America.
The tree’s heartwood produces a light pink tone with a wide circling grain pattern, and inside you’ll also find tight growth rings.
"
Drop Click (Drop Lock),"A type of Click jointing system for flooring where the headers (short ends) are joined together by a click system that allows the join to be made in a vertical “drop” method with the other board remaining flat. The long sides are generally joined together starting with an angle and then lowered and clicked into place. The headers can then be drop-locked together. Earlier Click systems required both long sides and headers to be angled when jointing together.
"
Elm,"Including English Elm and Antique English Elm.
English Elm is strong and durable with a tightly twisted grain. In fresh timber it is full of greens and blues intermingled into the grain, however this quickly fades to a deep tan in older woods.
"
End-Grain,"A pattern effect where the wood has been cut across the grain, rather than along the grain. Usually cut into square shapes and blocked together, the growth rings will be clearly visible. Although rather unstable in shape, the surface of end-grain timber is extremely hard and this makes it very special for wood flooring.
"
Ends Matched,"Traditionally wood flooring would be supplied with the short ends just square cut and so not joined together when installed.  Nowadays it is normal for the ends to be “matched” by joining pieces together during installation aided by the application of a factory-machined tongue and groove or click system.
"
Engineered Flooring ,"Traditionally, wood flooring was almost always made from solid planks of wood, usually between 20 and 25mm thick and in widths typically narrower than 100mm (4’’). Solid wood planks can be quite unstable with changes of humidity, especially in wider widths. A solution to this problem was to engineer the wood flooring by using multiple layers of wood glued together so that each layer has the wood-grain running perpendicular to the next. A “wear layer” of decorative wood is applied to the top making the engineered product very difficult to distinguish from a solid wood floor once installed. Engineered flooring is now more popular than solid wood flooring, shows higher technical performance and can be supplied in thinner and wider formats."
English Oak,"The floors we make out of English Oak are all quarter sawn and this ancient method of sawing Oak, creates not only the most stable cut, but it is also the most beautiful.  The grain is so much finer and many of the boards are treated to lovely thick medullary rays that silver across each width.
"
European Oak,"The most common type of specialist wood that we use for our floors.
We use Northern French, German and Polish Oak as their cooler climates encourage slower growth and the tighter growth rings make for a harder, more attractive floor with a unique knot structure. 
"
Extra Wide Plank ,An Extra Wide plank is where the width is between 220mm and 260mm.
"UKTR AND EUTR
","European Timber Regulation. Adopted throughout the EU (including the UK) in 2013. This legislation requires that all operators importing any timber, or products containing or derived from timber, from outside of the EU must carry out a recognised Due Diligence process to ensure its legality. This legislation has had a profound effect on the sourcing of timber and timber products resulting in a rapid decline in the range of tropical timber products now available."
"F.A.M.C
","In recent years, the real wood flooring specie of fashion choice has been predominantly Oak. This trend has seen the demise decrease in use of many very good tropical species. Environmental and legality concerns around using tropical timbers has also seen their use in flooring, furniture and joinery products decline in favour of timbers from temperate regions. So nowadays any remaining tropical species used in wood flooring are regarded as Exotic. Care needs to be taken that any Exotic wood products do comply with all local and international legislation (including UKTR) and FSC certified products should be preferred.
"
Face Nail,"Boards nailed through the surface. Nails are usually punched and filled. Often necessary with boards exceeding 100mm in width in order to comply with the requirements of BS8201:1987 which states that boards exceeding 100mm in width should not solely be secret nailed. This requirement is now seen as being restrictive as widths up to 180mm are successfully secret nailed. In this instance, the humidity levels of both the sub-floor and air are crucial."
Fibre  Saturation Point,This is the theoretical point when the cell cavities are empty of free water and the cell walls remain saturated. The average moisture content of wood at moisture saturation point is between 23-30%.
Figure,"The beautiful appearance of the timber created by the grain and growth rings. Certain timbers have particular figures, e.g. the ‘bird’s eye’ figure in Maple and medullary rays in quarter sawn Oak."
Fillet,"A fillet is a small batten (see above) often used on joists in order to pack up the floor level.
"
Finger-Jointed,"A finger joint, also known as a comb or box joint, is a method of joining smaller pieces of wood by machining thin, triangular fingers into the ends of each piece and then gluing them together under pressure. In this way many smaller pieces of wood may be joined together to create longer or wider pieces of wood.
"
Finishes Profiles,"Finished profiles are those which have been treated with colours, oils and lacquers to individually match or complement the flooring installation.
"
Fire Rating,"European standard EN 13501-1 – ‘Fire classification testing requirements for floorcoverings’ refers to various performance levels of floor coverings. Most wood floor products when used as flooring will conform to a level of Dfl-s1. If clients require a standard higher or different to this, then individual type testing will be needed. The client will need to specify exactly which standard test method is to be employed and what level within the standard the floor must achieve."
Floating Floor,"Wood flooring loose laid over a resilient underlay. Engineered or multilayer boards are usually often laid as floating floors, but never solid hardwood boards. Floating floors laid over concrete must include a vapour barrier. The boards that constitute a floating floor must be fixed together, usually by gluing the tongues and grooves. Floating floors in domestic situations will usually be classed by insurance companies as part of the contents of a premise.
"
Floor Finishes,"The oils, lacquers and waxes that can be applied to the surface of the wood flooring to provide the best aesthetic choice combined with longevity and ease of maintenance.
"
Floor Seal,"A heavy-duty lacquer applied to the surface of wood flooring. Usually maintained by sweeping and damp-mopping. Can be very hard wearing.
"
Formaldehyde Emissions ,"Formaldehyde is a colourless gas with a pickle-like smell that can emanate from many types of floor coverings, detergents, paints and fabric. In very low levels it is harmless but in some cases of higher concentrations people may suffer allergic reactions, or irritation to eyes and nose.
Because of the glues and resins used in the manufacture process formaldehyde emissions are common from many types of laminate and LVT flooring, considerably lower in engineered real-wood flooring and very low or not at all from unfinished solid wood flooring.
Check that the product you buy confirms to E1 standards which say that acceptable formaldehyde emissions are an emission level better than .10 parts per million. That’s similar to CARB phase 2 standards, which say .11 parts per million is acceptable."
"FSC®
","Forest Stewardship Council® – an independent, non-governmental, not-for-profit organization established to promote the responsible management of the world’s forests.
"
FSC 100%.,The logo FSC 100% on any products show that 100% of the timber in that product is from an FSC certified forest source with no other non-certified wood mixed in.
FSC 70%,"When produced under the 'percentage system', a product must contain a minimum of 70% FSC-certified timber; the rest (maximum 30%) must be controlled wood. This means that in any batch of flooring a minimum of 70% of the timber used in the manufacture has come from 100% certified sources and the remainder (maximum 30%) has come from “controlled wood”. Controlled Wood is wood of known origin with a minimum risk that it is harvested in an unacceptable way."
Fully Bonded,"Fully bonded refers to an installation method whereby floors are installed fully glued down to a screed, plywood or concrete sub-floor. This method is especially recommended for larger areas where floating is not an option, or for engineered boards wider than 220mm. It is also the best method for fitting block, chevron or other patterns.
Subject to correct sub-floor preparation it is normal to use a high-quality MS Flex adhesive to glue the wood floor to the sub-floor. Glue must not be applied to the T&G and the correct expansion gaps must be respected.
In domestic property insurance situations, a fully-bonded floor will usually be considered as structural part of the premise and therefore part of the structure of the building."
Fumed,"Fuming timber, mainly European oak, is a process whereby the timber is exposed to large concentrations of ammonia gas. This has the effect of darkening the tannins in the wood surface leaving new timber with a nicely matured base colour. This allows oak flooring to be finished in a wide range of coloured options that would not be possible with un-fumed material.
"
Geometric Pattern,"Wood floor designs made up of different shaped elements laid in a pattern that repeats across the floor. The sub-floor needs to be perfectly flat for these designs and the best results will be obtained installing as square-edge, unfinished components allowing for sanding and finishing on site.
"
Gloss Level,"This refers to the degree of shine on the surface of a wood floor. It depends upon the type of lacquer or oil used to finish the floor.
Measured by a refractometer it is usually expressed as a %.
Typical values may vary between 8% gloss (quite matt and no shine at all) and up to 40% gloss (very shiny indeed). Most European oak floors are finished between 12% and 25% gloss."
Grading,"There are various grades of timber, variously called prime, first, second, country, factory etc. There are no British standards or industry standards for wood floor grades – so you need to check what the grades include/exclude. Typical grade names used with wood flooring include, Prime, Nature, Rustic, Mixed, Tavern, Ungraded, etc. It is also important to remember that grades are species specific – e.g. Prime Oak might not contain either knots or sapwood but Prime Walnut might allow for some of both.
"
Green,"This is a general term for unseasoned timber. Green timber cannot ever be used internally for wood floors.
"
Grit,"A term used to describe sandpaper, the lower the grit number – (e.g. 60) – the more coarse the paper. 60 grit is a common coarse grade used for removing the top few mm’s of wood from a floor. Typically, 150 grit would be used prior to applying oil to an unfinished floor and typically 320 grit being used in between lacquer coats."
Hand Hewn,"A highly irregular surface texture effect, still showing signs of the original saw marks on Antique and Reclaimed floors.
"
Hand Scraped,"In the 19th Century, before electrical orbital sanders came along, the traditional method for deep-cleaning or refurbishing wooden floors was to scrape off the dirt and oils from the surface of the wood using a hand-scraper. This resulted in characteristic lines of undulations in the floor.
Nowadays it can be common to similarly shape new wood floors by hand scraping the surface during manufacture, prior to applying the finishing coats."
Hardened Oil,"A super-tough flooring lacquer with the appearance of a natural oil.
"
Hardened Lacquer,"This finish works by firstly filling the pores of the wood with Lacquer. After several applications, the pores of the wood have been filled. The final coats of Lacquer contain a light reactive additive which is cured to form a protective coating. The protective coating is water resistant and dirt repellent.
"
Hardwax Oil,"Oil finishes are an ideal alternative to floor seals or lacquers, where a more natural appearance is desired. Oil finishes usually require marginally more maintenance than floor seals but, when properly maintained, can last longer. Hardwax oils can be easily re-coated and ‘spot repaired’. Please note that UV oil finishes are not compatible with hardwax oils. The closed surface of the UV finish restricts the hardwax oil from penetrating the wood – which results in drying difficulties as well as heavy residues left on the surface of the floor.
"
Header Joint,"The joint between two ends of boards.
"
Heart,"The core of the tree from which growth rings emanate.
"
Herringbone,A pattern of flooring made up from rectangular blocks. Typically the blocks may be of dimensions around 70mm x 350mm and will normally be glued down to a ply or a levelled screed.
Hygroscopic ,"Wood to be used for flooring is kiln dried to typically 6-10% moisture content. Wood at this low level of moisture can readily absorb moisture from the surrounding air, meaning it is hygroscopic. It is therefore important that dried wood and floorboards are stored in a humidity-controlled environment (40% to 60%) to prevent absorption of moisture which can result in swelling or distortion of the boards."
Hygrometer,"A device for measuring the moisture content of air. Hygrometers are calibrated in % relative humidity or RH. Hygrometers used in flooring consist of a polystyrene box about 300 x 300 x 75mm which traps air in a void under the box. The humidity box, as it is called, is fixed to a subfloor with an adhesive sealant strip and left for 12-60 hours. Moisture from the subfloor exchanges with the air above it until the two are in equilibrium, so that ascertaining the moisture content of the air under the box is the same as testing the screed itself. The British Standard code of practice for the installation of hardwood flooring (BS8201:1987) specifies that the RH should not exceed 75% when flooring is to be laid on a screed. With the modern practice of gluing boards directly to a screed, this is considered by many to be too high and 70% is more realistic for this purpose. As an alternative to humidity boxes, humidity sleeves are now in common use."
Honeycombing ,"Interior checks caused when timber has been case hardened. The outer zones of the wood set without shrinking and when the centre core dries, it is restrained from shrinking and interior checks may result.
"
"Inlay
","Feature of contrasting wood inset into a floor.
"
Insulation ,"A layer of material, often built into the subfloor as a barrier for heat or sound.
"
"IPE/TAJIBO  (Handroanthus spp)
","It is extremely dense and and extremely durable, but it is also extremely difficult to work.
Its incredible hardness and strength make it well suited for flooring applications, in fact they aren’t many wood species that are stronger or harder.
"
Janka Hardness Rating,"(See also Brinell Hardness rating)
The Janka method of testing the hardness of different wood types involves measuring the force needed to embed an 11.32mm diameter steel ball exactly half way into the surface of the wood.
The result is measured as a force in either lbf (pounds force) or N (Newtons). It is important to always include the units of measurement when quoting any Janka rating figures. Typical examples are: European Oak 1120 lbf (4980N) and Fir 620lbf (2760N)."
Jarrah,"Jarrah is a type of Eucalyptus it is botanical name is Eucalyptus Marginata.
We only work with reclaimed Jarrah, this is the original old growth material, Imported during the 19th Century."
Jatoba,"Jatoba is a Brazilian tropical wood. It is strong and very hard wearing. It has very subtle grain patterns and appears very even in tone. Often it is referred to as being South American Cherry, however it has not botanical connection and only shares some tonal similarities.
The heartwood varies from a light brown with orange undertones to a darker reddish brown. It  sometimes has contrasting darker greyish brown streaks.
"
Joist,"A joist is a wooden strut, nowadays usually softwood, used to support floorboards to which the boards are usually nailed. The size of the joist will depend upon the expected load and the span.
"
Kiln,"A chamber in which the temperature, humidity and movement of air is controlled and is used to dry wood.
"
Knot,"A knot is a figure in the grain of wood where a branch once grew, created during the growth of the tree. Small knots or burrs can be quite attractive. Some timbers, like Cherry, contain many knots; others, like Birch, very few. The knot content in timber can vary depending on the specific tree variety and is usually controlled in the grading process during production.
"
Laboratory,"In a wood-flooring context, Lab harnesses the best in experimental creativity where innovation drives the development of pioneering new floors. A process bringing together the finest materials and truly innovative ideas.
"
Lacquer,"Another name for floor seal. Lacquers are often polyurethane-based in a water-borne solution.
"
Lamella,"In an engineered floor the top wear layer is a very thick veneer of real wood, more correctly termed as a Lamella. Typically between 3mm and 6mm thick, the term lamella would usually refer to the raw material before it is glued and pressed onto the plywood or core layers."
Laminate,"Laminate Flooring is a multi-layered synthetic flooring with a decorative paper printed pattern fused with melamine and other synthetic hardening layers and usually bonded to a base layer of HDF fibre-board. The patterns are often of wood.   This is a plastic imitation wood flooring which has become popular in recent years, due mainly to its competitive pricing structure. However, whilst its general appearance is good, being produced photographically to look like wood the pattern will repeat usually every 5 or 6 boards. Laminate it lacks the warmth and resilience of real wood and cannot, of course, ever be sanded."
Larch ,"Larch (Larix Spp.) is a native forest tree in Russia, Central Europe, United States and Canada. They require a cool and fairly humid climate and for this reason they are found in the mountains of temperate zones.
 It is stable, strong and hard. Shrinkage is minimal. It is an incredibly slow grown wood with very tight growth rings. The grain patterns tend to be quite regular with crown saw boards showing a central flowery grain running into straighter grain.

"
Limed ,"This process involves applying a mixture of wax and white pigment to the surface of the oak, which fills in the pores and grains of the wood with a white or light-coloured finish. 
"
Latex Screed,"When floor layers are faced with solid subfloors that are not sufficiently flat, they use a smoothing compound. If a solid sub-floor is not sufficiently flat to allow the installation of a wood floor, the undulations may be levelled using a smoothing compound  Smoothing compounds, or as they are often incorrectly called, self-levelling compounds, are latex-cement powders which are mixed, either with water or latex paste, to form a grey cement which can be applied with a screeding trowel in thicknesses of 3mm, and in some cases even less."
Limed or Black Limed (Flooring Finish),"Unique to Woodworks is the process of Black Liming. Used to emphasis the grain features and moderate the colour of the reclaimed Burmese Teak.
"
Lye Treated,"Lye for wood is a chemical preparation for priming unfinished or newly sanded interior woodwork and floors. The lye prevents the wood from yellowing and enhances the natural wood grain. Lye may be used on many types of wood and normally creates a pale-coloured wash effect.
"
LVT,"Luxury Vinyl Tiles. Decorative flooring made from plastic. Many types of LVT are imitation copies of wood floors or ceramic tiles. Often only 3 or 4mm thick, these imitation plastic floors may seem cheap or good value, but plastic products are very unstable in temperature change situations and the surface wear layers are measured in fractions of a mm. There are nowadays un-costed environmental issues with plastic flooring in terms of the CO2 impact of production and then surrounding the disposal of these short-life cycle products.
Plastic and laminate floors have a very limited life-span compared to real wood floor products that can be repaired, renovated, re-sanded and last a generation."
"Maple (Canadian Maple, Reclaimed Maple","Maple  (Acer Spp) is incredibly strong and very hardwearing. Many of the floors we reclaimed had barely worn a few millimetres in decades sometimes centuries of use. The higher grades are an icey white tone with almost no variation in colour. In wider widths and in standard grades you will find more flamey brown streaks. 
Maple stains very well and is dimensionally stable.
"
Matt Lacquer,"A high performance 6 coat lacquer-based finish
that provides a hard wearing and durable finish.
We cure and sand between coats to form a high
level of protection. It has minimal reflective sheen and has a subtle appearance."
Micro Bevel,"Very small bevel. See ‘bevel’ above.
"
Mixed Width Plank,"A pattern of flooring installation where each row is a different width. Normally 3 widths of floor boards will be used, typically 80mm, 140mm or 180mm, and 220mm but there is no restriction and any installation can be tailored to reflect material availability.
Take care when installing to consider the pattern repeat and the visual impact of the mixed width rows."
Medullary Ray,"Iridescent streaks found in quarter sawn material.
"
Multilayer ,Refer to Engineer Boards 
Moisture Content,The amount of moisture contained in a material. The moisture content of most wood flooring is 8-10%. The moisture content of a screeded subfloor when laying wood flooring ought not to exceed 40% RH which is about 2%.
Moisture Meter,"A device used to measure the amount of water in a particular material. Moisture meters used in flooring are calibrated to a scale called ‘wood moisture equivalent’ (WME). This is because wood is fairly consistent with regard to moisture content, even within different species, whereas of the materials, like sand, cement or plaster, vary according to their particular composition. Consequently, they are measured on the WME scale which would be equivalent to the moisture content a piece of wood would assume if placed in contact with the material being tested.
"
Moisture Graident,"The variation in moisture content between the surface and the core of a piece of wood.
"
Morado (Rosewood),"Morado is also known as Santos Rosewood or Bolivian Rosewood. Rosewood is also very hard and durable. It is very slow grow with very tight grain concentrations.
"
Movement,"Movement is the swelling or shrinkage when wood is exposed to various humidity conditions. (See hydroscopic hygroscopic moisture)
"
Nailer,"There are various nailing machines on the market, perhaps the best known of which is Portanailer which drives nails into the flooring through the tongue at exactly the correct angle. Machines can be either manual or pneumatic.
"
Narrow Plank,Narrow flooring planks are 70mm to 135mm in width.
Narrow Herringbone,Narrow Herringbone pieces are under 90mm in width
Natural Oil,"An organic oil finish that penetrates deep into the wood’s surface.
"
Nature Grade,"Nature grade will include both heartwood and sapwood
which is up to 30% of the board and has a wider range of
colour variation."
Newton,"A measurement of force. For the technically minded, it is the amount of force that imparts the acceleration of 1 meter per second squared to a mass of 1 kilogram. A mass of 1kg has a weight of approximately 10N."
Notched Towel,"The reason for applying adhesive (and other materials) with a notched trowel, is that the manufacturer of the product will have calculated the optimum quantity of adhesive required, and applying it with the correct notched trowel will ensure that exact quantity is applied, thus ensuring a perfect bond.
"
